""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
Pride (2014) : 8630
Pride and Glory (2008) : 7043
Pride and Prejudice (1940) : 5175
Pride and Prejudice (1995) : 5193
Pride and Prejudice and Zombies (2016) : 9008
Priest (1994) : 267
Priest (2011) : 7779
Primal Fear (1996) : 550
Primary Colors (1998) : 1410
Prime Cut (1972) : 6188
Primer (2004) : 5583
Prince Valiant (1954) : 5481
Prince of Darkness (1987) : 5812
Prince of Persia: The Sands of Time (2010) : 7517
Prince of the City (1981) : 2986
Princess Caraboo (1994) : 515
Princess Mononoke (Mononoke-hime) (1997) : 2409
Prison Break: The Final Break (2009) : 7240
Prisoner of the Mountains (Kavkazsky plennik) (1996) : 1174
Prisoners (2013) : 8379
Private Benjamin (1980) : 911
Private Parts (1997) : 1193
Private School (1983) : 2945
Prizzi's Honor (1985) : 2939
Problem Child (1990) : 2242
Problem Child 2 (1991) : 2243
Project A ('A' gai waak) (1983) : 6327
Project Almanac (2015) : 8764
Project Nim (2011) : 7852
Project X (2012) : 7987
Prom (2011) : 7850
Prom Night (1980) : 1549
Prom Night (2008) : 6919
Prom Night II (1987) : 1550
Prom Night III: The Last Kiss (1989) : 1551
Prom Night IV: Deliver Us From Evil (1992) : 1552
Prometheus (2012) : 8030
Promised Land (2012) : 8214
Promises (2001) : 4004
Proof (1991) : 4929
Proof (2005) : 6201
Proof of Life (2000) : 3201
Prospero's Books (1991) : 5839
Psycho (1960) : 975
Psycho (1998) : 1899
Psycho II (1983) : 2328
Psycho III (1986) : 2329
Public Access (1993) : 2281
Public Enemies (2009) : 7238
Puccini for Beginners (2006) : 6658
Pulp Fiction (1994) : 266
Pulse (2006) : 6358
Pump Up the Volume (1990) : 1022
Pumping Iron II: The Women (1985) : 8144
Pumpkinhead (1988) : 3071
Punch-Drunk Love (2002) : 4258
Punchline (1988) : 3214
Punk's Dead: SLC Punk! 2 (2014) : 8455
Puppet Master (1989) : 2917
Puppet Master 4 (1993) : 2920
Puppet Master 5: The Final Chapter (1994) : 2921
Puppet Master II (1991) : 2918
Puppet Master III: Toulon's Revenge (1991) : 2919
Purple Noon (Plein soleil) (1960) : 566
Purple Rain (1984) : 5366
Pursuit of Happiness (2001) : 5327
Push (2009) : 7137
Pusher (1996) : 5864
Pushing Tin (1999) : 2081
Puss in Boots (2011) : 7898
Pygmalion (1938) : 4978
Pépé le Moko (1937) : 4435
Q & A (1990) : 4491
Quadrophenia (1979) : 3760
Quai des Orfèvres (Jenny Lamour) (1947) : 4653
Quantum of Solace (2008) : 7052
Quarantine (2008) : 7041
Quartet (2012) : 8204
Quatermass 2 (Enemy from Space) (1957) : 2916
Quatermass and the Pit (1967) : 2915
Queen Christina (1933) : 5361
Queen of the Damned (2002) : 3963
Queens Logic (1991) : 2280
Querelle (1982) : 4469
Quest for Camelot (1998) : 1452
Quick Change (1990) : 4936
Quigley Down Under (1990) : 5840
Quills (2000) : 3197
Quiz Show (1994) : 268
R.I.P.D. (2013) : 8333
RV (2006) : 6405
Rabbit-Proof Fence (2002) : 4136
Rabid (1977) : 4937
Race to Witch Mountain (2009) : 7264
Rachel Getting Married (2008) : 7030
Radio (2003) : 4855
Radio Days (1987) : 2202
Radioland Murders (1994) : 459
Raggedy Man (1981) : 4338
Raging Bull (1980) : 984
Ragtime (1981) : 4339
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981) : 955
Raiders of the Lost Ark: The Adaptation (1989) : 7232
Railroaded! (1947) : 2697
Rain (1932) : 2330
Rain Man (1988) : 1523
Raise Your Voice (2004) : 5582
Raise the Red Lantern (Da hong deng long gao gao gua) (1991) : 1034
Raising Arizona (1987) : 1132
Raising Cain (1992) : 5190
Raising Helen (2004) : 5382
Raising Victor Vargas (2002) : 4545
Rambling Rose (1991) : 4087
Rambo (Rambo 4) (2008) : 6856
Rambo III (1988) : 1914
Rambo: First Blood Part II (1985) : 1912
Ran (1985) : 973
Random Harvest (1942) : 5675
Random Hearts (1999) : 2332
Rango (2011) : 7723
Ransom (1996) : 675
Rape Me (Baise-moi) (2000) : 3474
Rare Birds (2001) : 3933
Rare Exports: A Christmas Tale (Rare Exports) (2010) : 7664
Rashomon (Rashômon) (1950) : 4044
Rat Race (2001) : 3706
Ratatouille (2007) : 6606
Ratcatcher (1999) : 4218
Ravenous (1999) : 2052
Raw Deal (1948) : 920
Rawhead Rex (1986) : 2403
Ray (2004) : 5610
Raze (2013) : 8568
Re-Animator (1985) : 2424
Read My Lips (Sur mes lèvres) (2001) : 4172
Ready to Rumble (2000) : 2805
Ready to Wear (Pret-A-Porter) (1994) : 273
Real Genius (1985) : 1050
Real Life (1979) : 3343
Real Steel (2011) : 7879
Real Women Have Curves (2002) : 4266
Reality (2014) : 8792
Reality Bites (1994) : 336
Rear Window (1954) : 725
Rebecca (1940) : 748
Rebecca of Sunnybrook Farm (1938) : 8173
Rebel Without a Cause (1955) : 892
Rebound (2005) : 6158
Reckless (1984) : 7335
Reckless (1995) : 167
Recount (2008) : 6944
Red (2010) : 7629
Red 2 (2013) : 8341
Red Army (2014) : 8739
Red Beard (Akahige) (1965) : 4161
Red Chapel (Røde kapel) (2006) : 7384
Red Cliff (Chi bi) (2008) : 6994
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009) : 7196
Red Corner (1997) : 1339
Red Dawn (1984) : 2746
Red Dragon (2002) : 4235
Red Dust (1932) : 6682
Red Eye (2005) : 6191
Red Heat (1988) : 3570
Red Planet (2000) : 3186
Red Riding Hood (2011) : 7740
Red Riding: 1983 (2009) : 7495
Red River (1948) : 4963
Red Rock West (1992) : 337
Red Sonja (1985) : 1883
Red Sorghum (Hong gao liang) (1987) : 2384
Red State (2011) : 7857
Red Tails (2012) : 7961
Redemption: The Stan Tookie Williams Story (2004) : 5958
Redline (2009) : 8180
Reds (1981) : 2351
Reefer Madness (a.k.a. Tell Your Children) (1938) : 5057
Reflections in a Golden Eye (1967) : 5283
Reform School Girls (1986) : 3330
Regarding Henry (1991) : 4828
Regret to Inform (1998) : 2880
Reign Over Me (2007) : 6641
Reign of Fire (2002) : 4146
Reindeer Games (2000) : 2657
Relax... It's Just Sex (1998) : 2039
Religulous (2008) : 6913
Remember Me (2010) : 7463
Remember the Titans (2000) : 3127
Remo Williams: The Adventure Begins (1985) : 4701
Renaissance (2006) : 6392
Renaissance Man (1994) : 462
Reno 911!: Miami (2007) : 6615
Rent (2005) : 6279
Replicant (2001) : 7120
Repo Man (1984) : 1527
Repo Men (2010) : 7472
Repossessed (1990) : 2434
Reprise (2006) : 6931
Repulsion (1965) : 2471
Requiem For The Big East (2014) : 8907
Requiem for a Dream (2000) : 3157
Requiem for a Heavyweight (1962) : 4111
Rescue Dawn (2006) : 6701
Reservoir Dogs (1992) : 880
Resident Evil (2002) : 4000
Resident Evil: Afterlife (2010) : 7593
Resident Evil: Apocalypse (2004) : 5561
Resident Evil: Extinction (2007) : 6763
Resident Evil: Retribution (2012) : 8110
Restoration (1995) : 41
Restrepo (2010) : 7627
Retroactive (1997) : 2773
Return from Witch Mountain (1978) : 1651
Return of the Fly (1959) : 3134
Return of the Killer Tomatoes! (1988) : 4057
Return of the Living Dead Part II (1988) : 3571
Return of the Secaucus 7 (1980) : 4016
Return to Me (2000) : 2806
Return to Never Land (2002) : 3952
Return to Oz (1985) : 1653
Return to Paradise (1998) : 1721
Return to Sender (2015) : 8855
Return to Snowy River (a.k.a. The Man From Snowy River II) (1988) : 3573
Return to the Blue Lagoon (1991) : 4336
Return with Honor (1998) : 2352
Revenge for Jolly! (2012) : 8344
Revenge of the Green Dragons (2014) : 8618
Revenge of the Nerds (1984) : 3355
Revenge of the Nerds II: Nerds in Paradise (1987) : 3356
Revenge of the Pink Panther (1978) : 5454
Revengers Tragedy (2002) : 5525
Reversal of Fortune (1990) : 3352
Revolution OS (2001) : 4748
Revolutionary Road (2008) : 7107
Revolver (2005) : 6261
Rich and Strange (1931) : 1759
Richard III (1995) : 39
Richard Pryor Here and Now (1983) : 3945
Richard Pryor Live on the Sunset Strip (1982) : 4470
Richard Pryor: Live in Concert (1979) : 6306
Richie Rich (1994) : 338
Ricki and the Flash (2015) : 8842
Ricky Gervais Live 3: Fame (2007) : 7534
Ricky Gervais Live 4: Science (2010) : 7694
Ricky Gervais Live: Animals (2003) : 7521
Riddick (2013) : 8357
Ride Along (2014) : 8469
Ride with the Devil (1999) : 2509
Ridicule (1996) : 1106
Riding Alone for Thousands of Miles (Qian li zou dan qi) (2005) : 6326
Riding Giants (2004) : 5962
Riding in Cars with Boys (2001) : 3794
Rififi (Du rififi chez les hommes) (1955) : 3413
Riki-Oh: The Story of Ricky (Lik Wong) (1991) : 5837
Ring of Bright Water (1969) : 5396
Ring of Terror (1962) : 4670
Ringu (Ring) (1998) : 4528
Ringu 0: Bâsudei (2000) : 6095
Ringu 2 (Ring 2) (1999) : 4529
Rio (2011) : 7763
Rio 2 (2014) : 8536
Rio Bravo (1959) : 3432
Rio Grande (1950) : 4326
Rise of the Guardians (2012) : 8169
Rise of the Planet of the Apes (2011) : 7831
Rising Sun (1993) : 463
Risky Business (1983) : 2337
River's Edge (1986) : 3359
Rivers and Tides (2001) : 4986
Rize (2005) : 6148
Road Games (a.k.a. Roadgames) (1981) : 4340
Road House (1989) : 3651
Road Trip (2000) : 2887
Road to Morocco (1942) : 4010
Road to Perdition (2002) : 4147
Road to Singapore (1940) : 4011
Road to Utopia (1946) : 4012
Road to Zanzibar (1941) : 4013
Roadkill (a.k.a. Roadkill: Move or Die) (1989) : 5519
Roadside Prophets (1992) : 2789
Rob Roy (1995) : 130
Robin Hood (1973) : 2437
Robin Hood (2010) : 7510
Robin Hood: Men in Tights (1993) : 466
Robin Hood: Prince of Thieves (1991) : 831
Robin Williams: Weapons of Self Destruction (2009) : 8735
RoboCop (1987) : 2396
RoboCop (2014) : 8489
RoboCop 2 (1990) : 2397
RoboCop 3 (1993) : 465
Robot & Frank (2012) : 8108
Robot Overlords (2014) : 8893
Robots (2005) : 6053
Rock 'N' Roll High School (1979) : 5297
Rock Star (2001) : 3729
Rock of Ages (2012) : 8050
Rock-A-Doodle (1991) : 7158
Rocket Science (2007) : 6737
RocketMan (a.k.a. Rocket Man) (1997) : 1310
Rocketship X-M (1950) : 3022
RocknRolla (2008) : 7045
Rocky (1976) : 1516
Rocky Balboa (2006) : 6565
Rocky II (1979) : 1919
Rocky III (1982) : 1920
Rocky IV (1985) : 1921
Rocky V (1990) : 1922
Rocky VI (1986) : 7842
Rodan (Sora no daikaijû Radon) (1956) : 5707
Roger & Me (1989) : 1624
Roger Dodger (2002) : 4310
Rogue (2007) : 6973
Role Models (2008) : 7053
Role/Play (2010) : 8216
Rollerball (1975) : 4176
Rollerball (2002) : 3939
Rollercoaster (1977) : 2020
Roman Holiday (1953) : 737
Roman Polanski: Wanted and Desired (2008) : 6970
Romance (1999) : 2322
Romancing the Stone (1984) : 1916
Romeo Is Bleeding (1993) : 467
Romeo Must Die (2000) : 2756
Romeo and Juliet (1968) : 2923
Romeos (2011) : 8956
Romero (1989) : 3652
Romper Stomper (1992) : 468
Romy and Michele's High School Reunion (1997) : 1216
Ronin (1998) : 1801
Rookie of the Year (1993) : 3946
Room (2015) : 8919
Room 237 (2012) : 8252
Room Service (1938) : 6154
Room at the Top (1959) : 2549
Roommates (1995) : 272
Roots (1977) : 7251
Rope (1948) : 1729
Rory O'Shea Was Here (Inside I'm Dancing) (2004) : 6018
Rosemary's Baby (1968) : 1715
Rosencrantz and Guildenstern Are Dead (1990) : 997
Rosetta (1999) : 2418
Rosewood (1997) : 1186
Rough Magic (1995) : 1237
Rough Night in Jericho (1967) : 2430
Rounders (1998) : 1763
Roxanne (1987) : 5468
Royal Wedding (1951) : 3980
Rubber (2010) : 7624
Rubble Kings (2015) : 8977
Ruby Gentry (1952) : 5640
Ruby Sparks (2012) : 8077
Ruby in Paradise (1993) : 469
Rudolph the Red-Nosed Reindeer (1948) : 8758
Rudy (1993) : 470
Rugrats in Paris: The Movie (2000) : 3194
Rules of Engagement (2000) : 2807
Rumble Fish (1983) : 5791
Rumble in the Bronx (Hont faan kui) (1995) : 102
Rumor Has It... (2005) : 6301
Run All Night (2015) : 8801
Run Lola Run (Lola rennt) (1998) : 2154
Run Silent Run Deep (1958) : 2137
Runaway (1984) : 3146
Runaway Bride (1999) : 2181
Runaway Jury (2003) : 4849
Runaway Train (1985) : 1855
Runner Runner (2013) : 8392
Running Scared (1986) : 1964
Running Scared (2006) : 6355
Running With Scissors (2006) : 6523
Running on Empty (1988) : 3575
Rush (1991) : 5338
Rush (2013) : 8382
Rush Hour (1998) : 1798
Rush Hour 2 (2001) : 3685
Rush Hour 3 (2007) : 6733
Rushmore (1998) : 1905
Russian Ark (Russkiy Kovcheg) (2002) : 4267
Russian Dolls (Les poupées russes) (2005) : 6164
Rustom (2016) : 9063
Ruthless People (1986) : 1970
Ryan's Daughter (1970) : 4994
S.W.A.T. (2003) : 4709
SLC Punk! (1998) : 2079
SOMM: Into the Bottle (2016) : 9015
SS Experiment Love Camp (Lager SSadis Kastrat Kommandantur) (1976) : 8647
Sabotage (1936) : 1756
Saboteur (1942) : 1751
Sabrina (1954) : 736
Sabrina (1995) : 6
Sacco and Vanzetti (Sacco e Vanzetti) (1971) : 2814
Safe (1995) : 168
Safe Haven (2013) : 8249
Safe House (2012) : 7971
Safe Men (1998) : 1687
Safe Passage (1994) : 339
Safety Last! (1923) : 5356
Safety Not Guaranteed (2012) : 8038
Sahara (1943) : 3876
Sahara (2005) : 6088
Saint Ralph (2004) : 6144
Saints and Soldiers (2003) : 5941
Salaam Bombay! (1988) : 4530
Salem's Lot (1979) : 6021
Salesman (1969) : 5528
Salome's Last Dance (1988) : 3576
Salsa (1988) : 3577
Salt (2010) : 7563
Saludos Amigos (1943) : 2881
Salvador (1986) : 3487
Salvation Boulevard (2011) : 7941
Samba (2014) : 8826
Sammy and Rosie Get Laid (1987) : 5321
Samsara (2001) : 5416
Samsara (2011) : 8104
Samurai Fiction (SF: Episode One) (1998) : 5264
Samurai I: Musashi Miyamoto (Miyamoto Musashi) (1954) : 5698
Samurai II: Duel at Ichijoji Temple (Zoku Miyamoto Musashi: Ichijôji no kettô) (1955) : 5702
Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima) (1956) : 5706
San Andreas (2015) : 8837
Sanjuro (Tsubaki Sanjûrô) (1962) : 2331
Sansho the Bailiff (Sanshô dayû) (1954) : 5343
Santa Claus: The Movie (1985) : 1909
Santa Fe Trail (1940) : 2513
Santa Sangre (1989) : 3653
Santa with Muscles (1996) : 1062
Sarah Silverman: Jesus Is Magic (2005) : 6283
Sarfarosh (1999),(no genres listed) : 8839
Satan's Brew (Satansbraten) (1976) : 6096
Saturday Night Fever (1977) : 4271
Saturday Night and Sunday Morning (1960) : 3957
Saturn 3 (1980) : 2282
Savage Messiah (1972) : 7811
Savages (2012) : 8067
Savannah Smiles (1982) : 4472
Save the Last Dance (2001) : 3249
Saved! (2004) : 5385
Saving Grace (2000) : 3062
Saving Mr. Banks (2013) : 8448
Saving Private Ryan (1998) : 1590
Saving Silverman (Evil Woman) (2001) : 3310
Saw (2004) : 5609
Saw II (2005) : 6254
Saw III (2006) : 6541
Saw IV (2007) : 6787
Saw V (2008) : 7058
Saw VI (2009) : 7345
Saw VII 3D - The Final Chapter (2010) : 7633
Say Anything... (1989) : 1776
Say It Isn't So (2001) : 3369
Scandal (1989) : 3654
Scanners (1981) : 4341
Scaramouche (1952) : 4676
Scarecrow (1973) : 5752
Scarface (1932) : 5655
Scarface (1983) : 3387
Scary Movie (2000) : 3025
Scary Movie 2 (2001) : 3472
Scary Movie 3 (2003) : 4856
Scary Movie 4 (2006) : 6395
Scenes From a Marriage (Scener ur ett äktenskap) (1973) : 5135
Scenes from the Class Struggle in Beverly Hills (1989) : 3655
Scent of a Woman (1992) : 2608
Schindler's List (1993) : 472
Schizopolis (1996) : 1236
Schneider vs. Bax (2015) : 8994
School Daze (1988) : 2729
School For Scoundrels (1960) : 5233
School Ties (1992) : 5187
School of Rock (2003) : 4838
Schultze Gets the Blues (2003) : 5959
Scooby-Doo (2002) : 4122
Scooby-Doo 2: Monsters Unleashed (2004) : 5120
Scoop (2006) : 6456
Scorpio Rising (1964),(no genres listed) : 7699
Scott Pilgrim vs. the World (2010) : 7576
Scratch (2001) : 3966
Scream (1996) : 1142
Scream 2 (1997) : 1357
Scream 3 (2000) : 2629
Scream of Stone (Cerro Torre: Schrei aus Stein) (1991) : 546
Screamers (1995) : 70
Screwed (2000) : 2871
Scrooged (1988) : 2480
Scum (1979) : 6788
Sea of Love (1989) : 3656
Seabiscuit (2003) : 4696
Search Party (2014) : 8892
Searching for Bobby Fischer (1993) : 474
Searching for Debra Winger (2002) : 5114
Searching for Sugar Man (2012) : 8097
Season of the Witch (2011) : 7693
Secondhand Lions (2003) : 4777
Seconds (1966) : 3918
Secret Window (2004) : 5107
Secretariat (2010) : 7611
Secretary (2002) : 4226
Secrets & Lies (1996) : 843
See Spot Run (2001) : 3318
Seeking Justice (2011) : 7958
Seeking a Friend for the End of the World (2012) : 8051
Seems Like Old Times (1980) : 4017
Selena (1997) : 1200
Self/less (2015) : 8873
Semi-Pro (2008) : 6874
Send Me No Flowers (1964) : 4977
Senna (2010) : 7750
Sense and Sensibility (1995) : 16
Senseless (1998) : 1373
Separate Lies (2005) : 6238
Serendipity (2001) : 3768
Serenity (2005) : 6176
Sergeant York (1941) : 5997
Serial (1980) : 4018
Serial Mom (1994) : 476
Series 7: The Contenders (2001) : 3319
Serpico (1973) : 2987
Sesame Street Presents Follow That Bird (1985) : 2712
Session 9 (2001) : 3704
Set It Off (1996) : 805
Seve (2014) : 8831
Seven (a.k.a. Se7en) (1995) : 45
Seven Beauties (Pasqualino Settebellezze) (1976) : 1767
Seven Brides for Seven Brothers (1954) : 4799
Seven Chances (1925) : 2593
Seven Days in May (1964) : 2901
Seven Pounds (2008) : 7095
Seven Psychopaths (2012) : 8132
Seven Samurai (Shichinin no samurai) (1954) : 1581
Seven Up! (1964) : 6596
Seven Years in Tibet (1997) : 1289
Seventh Son (2014) : 8728
Severance (2006) : 6494
Sex Drive (2008) : 7059
Sex Ed (2014) : 8684
Sex Tape (2014) : 8599
Sex and Lucia (Lucía y el sexo) (2001) : 4153
Sex and the City (2008) : 6939
Sex and the City 2 (2010) : 7522
Sex: The Annabel Chong Story (1999) : 5325
Sexmission (Seksmisja) (1984) : 6097
Sexy Beast (2000) : 3465
Sgt. Bilko (1996) : 556
Sgt. Pepper's Lonely Hearts Club Band (1978) : 4766
Shades of Ray (2008) : 7445
Shadow Conspiracy (1997) : 854
Shadow Dancer (2012) : 8229
Shadow of a Doubt (1943) : 1750
Shadow of the Thin Man (1941) : 5240
Shadow of the Vampire (2000) : 3235
Shadowlands (1993) : 478
Shadows and Fog (1991) : 3488
Shadows of Our Forgotten Ancestors (Tini zabutykh predkiv) (1964) : 6324
Shaft (1971) : 2981
Shaft (2000) : 2996
Shag (1989) : 3448
Shakes the Clown (1992) : 2830
Shakespeare in Love (1998) : 1906
Shakespeare-Wallah (1965) : 8130
Shall We Dance (1937) : 862
Shall We Dance? (2004) : 5585
Shall We Dance? (Shall We Dansu?) (1996) : 1229
Shall We Kiss? (Un baiser s'il vous plait) (2007) : 7207
Shallow Grave (1994) : 285
Shallow Hal (2001) : 3807
Shame (2011) : 7894
Shame (Skammen) (1968) : 5276
Shampoo (1975) : 2491
Shane (1953) : 3095
Shanghai Knights (2003) : 4483
Shanghai Noon (2000) : 2894
Shanghai Surprise (1986) : 2703
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) : 29
Shaolin Soccer (Siu lam juk kau) (2001) : 4722
Shark Night 3D (2011) : 7861
Shark Tale (2004) : 5579
Sharknado (2013) : 8331
Sharknado 3: Oh Hell No! (2015) : 8883
Sharknado 4: The 4th Awakens (2016) : 9060
Sharky's Machine (1981) : 4342
Shattered (1991) : 4658
Shattered Glass (2003) : 4870
Shaun of the Dead (2004) : 5569
She Done Him Wrong (1933) : 5658
She Wore a Yellow Ribbon (1949) : 4132
She's All That (1999) : 1988
She's Funny That Way (2015) : 8861
She's Gotta Have It (1986) : 2728
She's Having a Baby (1988) : 3206
She's Out of Control (1989) : 3658
She's Out of My League (2010) : 7461
She's So Lovely (1997) : 1272
She's the Man (2006) : 6364
She's the One (1996) : 660
She-Devil (1989) : 2705
Shelter (2007) : 6932
Shenandoah (1965) : 4626
Sherlock Holmes (2009) : 7390
Sherlock Holmes: A Game of Shadows (2011) : 7930
Sherlock Jr. (1924) : 5644
Sherlock: The Abominable Bride (2016) : 9010
Sherman's March (1985) : 5808
SherryBaby (2006) : 6497
Shine (1996) : 1101
Shine a Light (2008) : 6899
Shining Through (1992) : 5846
Shiri (Swiri) (1999) : 5317
Shirley Valentine (1989) : 3659
Shiver (Eskalofrío) (2008) : 7255
Shivers (They Came from Within) (1975) : 6005
Shoah (1985) : 4861
Shock Corridor (1963) : 5323
Shogun Assassin (1980) : 4020
Sholay (1975) : 6177
Shoot 'Em Up (2007) : 6748
Shoot the Moon (1982) : 4475
Shoot the Piano Player (Tirez sur le pianiste) (1960) : 5006
Shoot to Kill (1988) : 3579
Shooter (2007) : 6642
Shooting Dogs (a.k.a. Beyond the Gates) (2005) : 6549
Shooting Fish (1997) : 1380
Shopgirl (2005) : 6248
Shopping (1994) : 90
Short Circuit (1986) : 3581
Short Circuit 2 (1988) : 3580
Short Cuts (1993) : 479
Short Term 12 (2013) : 8384
Shortbus (2006) : 6533
Show Boat (1951) : 5422
Show Me Love (Fucking Åmål) (1998) : 4938
Shower (Xizao) (1999) : 3027
Showgirls (1995) : 170
Showtime (2002) : 4001
Shrek (2001) : 3419
Shrek 2 (2004) : 5380
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010) : 7536
Shrek the Halls (2007) : 7079
Shrek the Third (2007) : 6683
Shriek If You Know What I Did Last Friday the Thirteenth (2000) : 8737
Shrink (2009) : 7375
Shut Up & Sing (2006) : 6546
Shutter Island (2010) : 7435
Sicario (2015) : 8913
Sicko (2007) : 6705
Sid and Nancy (1986) : 1859
Side Effects (2013) : 8243
Side by Side (2012) : 8129
Sidewalks of New York (2001) : 3742
Sidewalls (Medianeras) (2011) : 8084
Sideways (2004) : 5604
Sightseers (2012) : 8235
Signs (2002) : 4164
Signs of Life (Lebenszeichen) (1968) : 5367
Silent Fall (1994) : 3078
Silent Hill (2006) : 6400
Silent Running (1972) : 4115
Silent Souls (Ovsyanki) (2010) : 7715
Silk (2007) : 6784
Silk Stockings (1957) : 4613
Silkwood (1983) : 3758
Silver Bullet (Stephen King's Silver Bullet) (1985) : 4129
Silver Linings Playbook (2012) : 8153
Silver Streak (1976) : 5770
Silverado (1985) : 4935
Simon Birch (1998) : 1765
Simon Sez (1999) : 2315
Simon of the Desert (Simón del desierto) (1965) : 6558
Simone (S1m0ne) (2002) : 4182
Simply Irresistible (1999) : 1993
Sin City (2005) : 6086
Sin City: A Dame to Kill For (2014) : 8622
Sin Nombre (2009) : 7193
Sinbad and the Eye of the Tiger (1977) : 3044
Sinbad: Legend of the Seven Seas (2003) : 4683
Sing Street (2016) : 9028
Singin' in the Rain (1952) : 720
Single White Female (1992) : 2630
Singles (1992) : 2617
Sinister (2012) : 8127
Sirens (1994) : 481
Sister Act (1992) : 2603
Sister Act 2: Back in the Habit (1993) : 2604
Sisters (1973) : 5753
Sisters (2015) : 9001
Sita Sings the Blues (2008) : 7169
Six Days Seven Nights (1998) : 1463
Six Degrees of Separation (1993) : 482
Six Shooter (2004) : 7024
Six by Sondheim (2013) : 8443
Six-String Samurai (1998) : 1799
Sixteen Candles (1984) : 1702
Skin Deep (1989) : 3660
Skinwalkers (2007) : 6720
Sky Captain and the World of Tomorrow (2004) : 5563
Sky High (2005) : 6170
Skyfall (2012) : 8086
Skyline (2010) : 7657
Slacker (1991) : 4896
Slackers (2002) : 3931
Slam (1998) : 1824
Slap Shot (1977) : 4045
Slaughterhouse-Five (1972) : 5493
Slaves of New York (1989) : 3661
Sleep Dealer (2008) : 7371
Sleepaway Camp (1983) : 3073
Sleeper (1973) : 868
Sleepers (1996) : 859
Sleeping Beauty (1959) : 1656
Sleeping Dogs Lie (a.k.a. Stay) (2006) : 6538
Sleeping with the Enemy (1991) : 4815
Sleepless in Seattle (1993) : 483
Sleepover (2004) : 5476
Sleepwalk with Me (2012) : 8096
Sleepwalkers (1992) : 2963
Sleepy Hollow (1999) : 2476
Sleuth (1972) : 3958
Sliding Doors (1998) : 1334
Slim Susie (Smala Sussie) (2003) : 6297
Sling Blade (1996) : 1102
Slither (2006) : 6390
Sliver (1993) : 484
Slumber Party Massacre II (1987) : 3148
Slumber Party Massacre III (1990) : 3149
Slumdog Millionaire (2008) : 7051
Small Faces (1996) : 698
Small Soldiers (1998) : 1483
Small Time Crooks (2000) : 2888
Smile (1975) : 5555
Smiles of a Summer Night (Sommarnattens leende) (1955) : 5279
Smiley Face (2007) : 6809
Smiling Fish and Goat on Fire (1999) : 2851
Smilla's Sense of Snow (1997) : 1195
Smoke (1995) : 171
Smoke Signals (1998) : 1478
Smokey and the Bandit (1977) : 4022
Smokey and the Bandit II (1980) : 4021
Smokey and the Bandit III (1983) : 4023
Smokin' Aces (2006) : 6599
Snake Eyes (1998) : 1686
Snake in the Eagle's Shadow (Se ying diu sau) (1978) : 5779
Snakes on a Plane (2006) : 6455
Snatch (2000) : 3213
Sneakers (1992) : 1134
Sniper (1993) : 5219
Snipes (2001) : 4197
Snoopy Come Home (1972) : 6502
Snow Day (2000) : 2637
Snow Dogs (2002) : 3907
Snow Falling on Cedars (1999) : 2561
Snow White (Blancanieves) (2012) : 8238
Snow White and the Huntsman (2012) : 8027
Snow White and the Seven Dwarfs (1937) : 526
Snowpiercer (2013) : 8452
Snowriders (1996) : 914
So Dear to My Heart (1949) : 830
So Fine (1981) : 4343
So I Married an Axe Murderer (1993) : 487
Soapdish (1991) : 2965
Socialism (Film socialisme) (2010) : 7773
Solace (2015) : 8986
Solaris (2002) : 4358
Solaris (Solyaris) (1972) : 2797
Soldier (1998) : 1837
Soldier of Orange (a.k.a. Survival Run) (Soldaat van Oranje) (1977) : 5179
Soldier's Girl (2003) : 5904
Solo (1996) : 587
Some Folks Call It a Sling Blade (1993) : 578
Some Kind of Wonderful (1987) : 1044
Some Like It Hot (1959) : 731
Someone Like You (2001) : 3370
Someone Marry Barry (2014) : 8502
Someone to Watch Over Me (1987) : 2373
Somersault (2004) : 6130
Something Borrowed (2011) : 7777
Something Wicked This Way Comes (1983) : 1657
Something Wild (1986) : 3489
Something the Lord Made (2004) : 5956
Something to Talk About (1995) : 172
Something's Gotta Give (2003) : 5013
Somewhere in Time (1980) : 1040
Somm (2012) : 8416
Sommersby (1993) : 2303
Son in Law (1993) : 486
Son of Dracula (1943) : 2125
Son of Flubber (1963) : 1658
Son of Frankenstein (1939) : 2121
Son of Lassie (1945) : 7017
Son of Rambow (2007) : 6914
Son of a Gun (2014) : 8733
Sonatine (Sonachine) (1993) : 5854
Song of the Little Road (Pather Panchali) (1955) : 573
Song of the Sea (2014) : 8697
Song of the South (1946) : 1659
Song of the Thin Man (1947) : 5242
Songs From the Second Floor (Sånger från andra våningen) (2000) : 4171
Sons of Katie Elder (1965) : 3490
Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005) : 6333
Sophie's Choice (1982) : 887
Sorcerer (1977) : 5773
Sorority Boys (2002) : 4026
Sorority House Massacre (1986) : 3150
Sorority House Massacre II (1990) : 3151
Soul Food (1997) : 1291
